order_id,orderDate,customer_id,Resturant_ID,Fooditem,quantity,deliver_status,payment_method
254644,01-02-2022,5,212,2146,9,Delivered,COD
254645,01-02-2022,4,212,2147,9,Delivered,UPI
254646,01-02-2022,25,212,2145,8,Delivered,Card
254647,01-02-2022,5,212,2147,5,Delivered,COD
254648,01-02-2022,4,212,2145,2,Delivered,UPI
254649,01-02-2022,29,216,2163,3,Delivered,UPI
254650,01-02-2022,5,212,2147,7,Delivered,UPI
254651,01-02-2022,7,216,2160,1,Cancelled,COD
254652,01-02-2022,20,213,2149,1,Cancelled,UPI
254653,01-02-2022,4,214,2151,8,Delivered,COD
254654,01-02-2022,11,212,2146,10,Delivered,UPI
254655,01-02-2022,26,213,2149,6,Delivered,COD
254656,01-02-2022,23,213,2149,3,Delivered,UPI
254657,01-02-2022,3,214,2152,9,Delivered,COD
254658,01-02-2022,4,212,2146,4,Delivered,Card
254659,01-02-2022,25,217,2165,5,Delivered,COD
254660,01-02-2022,25,212,2145,4,Delivered,UPI
254661,01-02-2022,7,212,2147,6,Delivered,UPI
254662,01-02-2022,27,214,2154,3,Delivered,Card
254663,01-02-2022,26,214,2155,9,Delivered,UPI
254664,01-02-2022,10,214,2154,4,Delivered,COD
254665,01-02-2022,25,211,2141,9,Delivered,COD
254666,01-02-2022,4,213,2149,5,Delivered,COD
254667,01-02-2022,7,211,2142,2,Delivered,Card
254668,02-02-2022,4,212,2145,3,Delivered,UPI
254669,02-02-2022,29,212,2147,5,Delivered,UPI
254670,02-02-2022,10,216,2163,4,Delivered,UPI
254671,02-02-2022,29,212,2147,9,Delivered,UPI
254672,02-02-2022,1,212,2145,8,Delivered,UPI
254673,02-02-2022,4,212,2147,2,Delivered,COD
254674,02-02-2022,4,211,2141,4,Delivered,UPI
254675,02-02-2022,27,212,2147,10,Delivered,UPI
254676,02-02-2022,24,211,2142,10,Delivered,Card
254677,02-02-2022,27,213,2148,3,Delivered,COD
254678,02-02-2022,25,212,2146,8,Delivered,UPI
254679,02-02-2022,25,211,2141,10,Delivered,COD
254680,02-02-2022,7,211,2142,3,Delivered,UPI
254681,02-02-2022,27,211,2143,7,Delivered,UPI
254682,02-02-2022,8,213,2148,3,Delivered,UPI
254683,02-02-2022,4,212,2145,1,Cancelled,COD
254684,02-02-2022,25,214,2155,6,Delivered,UPI
254685,02-02-2022,2,211,2141,5,Delivered,UPI
254686,02-02-2022,30,213,2149,3,Delivered,COD
254687,02-02-2022,25,213,2148,5,Delivered,UPI
254688,02-02-2022,21,211,2144,3,Delivered,UPI
254689,02-02-2022,8,212,2147,1,Delivered,UPI
254690,02-02-2022,10,214,2155,1,Delivered,UPI
254691,02-02-2022,27,214,2154,6,Delivered,UPI
254692,02-02-2022,26,217,2165,2,Delivered,UPI
254693,02-02-2022,30,212,2147,1,Delivered,UPI
254694,02-02-2022,24,212,2145,7,Delivered,UPI
254695,02-02-2022,23,211,2141,2,Delivered,COD
254696,02-02-2022,4,212,2147,5,Delivered,UPI
254697,02-02-2022,12,213,2149,4,Delivered,UPI
254698,02-02-2022,25,211,2144,6,Delivered,COD
254699,02-02-2022,21,217,2164,9,Delivered,Card
254700,02-02-2022,30,214,2151,9,Delivered,UPI
254701,02-02-2022,4,213,2150,6,Delivered,UPI
254702,02-02-2022,7,216,2160,4,Delivered,UPI
254703,02-02-2022,26,216,2163,7,Delivered,UPI
254704,02-02-2022,4,214,2154,1,Delivered,UPI
254705,02-02-2022,20,213,2150,5,Delivered,COD
254706,02-02-2022,4,212,2147,8,Delivered,Card
254707,02-02-2022,2,211,2141,6,Delivered,UPI
254708,02-02-2022,14,213,2149,10,Delivered,Card
254709,02-02-2022,4,214,2155,6,Delivered,UPI
254710,02-02-2022,29,213,2149,9,Delivered,UPI
254711,02-02-2022,15,216,2163,5,Delivered,COD
254712,02-02-2022,1,212,2147,2,Delivered,COD
254713,02-02-2022,11,212,2145,3,Delivered,COD
254714,02-02-2022,9,214,2154,3,Delivered,Card
254715,03-02-2022,3,212,2147,8,Delivered,COD
254716,03-02-2022,24,211,2141,2,Delivered,UPI
254717,03-02-2022,4,212,2145,8,Delivered,COD
254718,03-02-2022,15,211,2141,2,Delivered,UPI
254719,03-02-2022,17,211,2141,2,Delivered,UPI
254720,03-02-2022,28,212,2147,3,Delivered,UPI
254721,03-02-2022,4,213,2149,7,Delivered,COD
254722,03-02-2022,12,211,2142,6,Delivered,COD
254723,03-02-2022,11,212,2145,8,Delivered,UPI
254724,03-02-2022,29,217,2165,9,Delivered,UPI
254725,03-02-2022,25,211,2142,2,Delivered,COD
254726,03-02-2022,20,211,2143,4,Delivered,UPI
254727,03-02-2022,8,212,2145,4,Delivered,COD
254728,03-02-2022,2,211,2142,10,Delivered,UPI
254729,03-02-2022,28,214,2151,9,Delivered,UPI
254730,03-02-2022,20,213,2148,4,Delivered,UPI
254731,03-02-2022,4,214,2155,3,Delivered,Card
254732,03-02-2022,30,214,2153,1,Delivered,COD
254733,03-02-2022,8,211,2141,6,Delivered,COD
254734,03-02-2022,15,211,2141,5,Delivered,COD
254735,03-02-2022,22,211,2143,7,Delivered,UPI
254736,03-02-2022,7,212,2145,5,Delivered,COD
254737,03-02-2022,4,217,2165,6,Delivered,COD
254738,03-02-2022,25,212,2145,9,Delivered,COD
254739,03-02-2022,29,212,2147,3,Delivered,Card
254740,03-02-2022,4,212,2145,4,Delivered,COD
254741,03-02-2022,27,211,2142,3,Delivered,UPI
254742,03-02-2022,4,212,2145,3,Delivered,UPI
254743,03-02-2022,6,211,2142,3,Delivered,UPI
254744,03-02-2022,22,211,2142,9,Delivered,UPI
254745,03-02-2022,22,211,2141,8,Delivered,COD
254746,03-02-2022,8,211,2142,7,Delivered,Card
254747,03-02-2022,4,214,2155,2,Cancelled,UPI
254748,03-02-2022,18,213,2148,7,Delivered,UPI
254749,03-02-2022,15,211,2142,6,Delivered,UPI
254750,03-02-2022,25,211,2141,7,Delivered,UPI
254751,03-02-2022,14,211,2143,6,Delivered,UPI
254752,03-02-2022,10,214,2155,2,Delivered,UPI
254753,03-02-2022,4,211,2143,9,Delivered,UPI
254754,03-02-2022,23,214,2153,8,Delivered,COD
254755,03-02-2022,4,214,2155,1,Delivered,UPI
254756,04-02-2022,26,211,2142,9,Delivered,COD
254757,04-02-2022,27,211,2142,10,Delivered,UPI
254758,04-02-2022,25,211,2142,3,Delivered,UPI
254759,04-02-2022,23,212,2147,4,Delivered,UPI
254760,04-02-2022,25,212,2147,10,Cancelled,UPI
254761,04-02-2022,4,213,2148,4,Delivered,COD
254762,04-02-2022,1,213,2149,8,Delivered,UPI
254763,04-02-2022,25,213,2149,5,Delivered,UPI
254764,04-02-2022,11,213,2150,1,Delivered,UPI
254765,04-02-2022,4,211,2142,5,Delivered,UPI
254766,04-02-2022,25,212,2145,9,Delivered,UPI
254767,04-02-2022,25,212,2146,1,Delivered,COD
254768,04-02-2022,3,211,2141,8,Delivered,COD
254769,04-02-2022,25,213,2150,5,Delivered,COD
254770,04-02-2022,8,216,2161,6,Delivered,UPI
254771,04-02-2022,14,216,2160,8,Delivered,UPI
254772,04-02-2022,4,213,2150,4,Delivered,COD
254773,04-02-2022,3,211,2142,8,Delivered,COD
254774,04-02-2022,4,213,2148,6,Delivered,Card
254775,04-02-2022,5,217,2165,2,Delivered,UPI
254776,04-02-2022,29,211,2141,2,Delivered,UPI
254777,04-02-2022,1,216,2162,9,Delivered,Card
254778,04-02-2022,10,214,2155,9,Delivered,UPI
254779,04-02-2022,4,212,2147,5,Delivered,COD
254780,04-02-2022,25,212,2145,9,Delivered,UPI
254781,04-02-2022,2,211,2142,1,Delivered,UPI
254782,04-02-2022,4,213,2149,1,Cancelled,UPI
254783,04-02-2022,28,216,2161,2,Delivered,UPI
254784,04-02-2022,4,216,2163,9,Delivered,COD
254785,04-02-2022,25,213,2148,5,Delivered,Card
254786,04-02-2022,25,216,2161,6,Delivered,UPI
254787,04-02-2022,27,214,2155,6,Delivered,UPI
254788,04-02-2022,1,217,2164,6,Delivered,Card
254789,04-02-2022,11,211,2142,1,Delivered,UPI
254790,04-02-2022,20,212,2145,5,Delivered,UPI
254791,04-02-2022,2,217,2167,2,Delivered,UPI
254792,04-02-2022,29,211,2142,8,Delivered,COD
254793,04-02-2022,21,214,2151,7,Delivered,UPI
254794,04-02-2022,1,216,2163,9,Delivered,UPI
254795,04-02-2022,23,212,2145,2,Delivered,COD
254796,04-02-2022,25,211,2143,9,Delivered,COD
254797,05-02-2022,4,212,2147,2,Delivered,UPI
254798,05-02-2022,4,213,2148,5,Delivered,Card
254799,05-02-2022,12,212,2145,1,Delivered,COD
254800,05-02-2022,25,212,2146,6,Delivered,UPI
254801,05-02-2022,25,211,2143,7,Delivered,COD
254802,05-02-2022,21,217,2165,6,Delivered,UPI
254803,05-02-2022,25,211,2141,1,Delivered,UPI
254804,05-02-2022,16,211,2144,8,Delivered,Card
254805,05-02-2022,9,211,2142,5,Delivered,COD
254806,05-02-2022,4,217,2167,9,Delivered,UPI
254807,05-02-2022,11,211,2142,3,Delivered,Card
254808,05-02-2022,24,214,2151,3,Delivered,UPI
254809,05-02-2022,25,212,2147,5,Delivered,UPI
254810,05-02-2022,25,213,2149,7,Delivered,UPI
254811,05-02-2022,4,213,2148,8,Delivered,UPI
254812,05-02-2022,2,214,2154,8,Delivered,COD
254813,05-02-2022,19,217,2165,10,Delivered,COD
254814,05-02-2022,28,211,2142,6,Delivered,UPI
254815,05-02-2022,28,211,2142,7,Delivered,COD
254816,05-02-2022,20,217,2165,8,Delivered,UPI
254817,05-02-2022,25,214,2154,5,Delivered,UPI
254818,05-02-2022,12,213,2148,4,Delivered,UPI
254819,05-02-2022,25,217,2164,6,Delivered,UPI
254820,05-02-2022,21,212,2147,9,Delivered,UPI
254821,05-02-2022,23,216,2160,10,Delivered,UPI
254822,05-02-2022,3,212,2147,8,Delivered,UPI
254823,05-02-2022,7,217,2165,7,Delivered,Card
254824,05-02-2022,25,212,2147,4,Delivered,UPI
254825,05-02-2022,4,217,2165,6,Delivered,Card
254826,05-02-2022,15,216,2160,1,Delivered,UPI
254827,05-02-2022,26,211,2144,7,Delivered,COD
254828,05-02-2022,23,214,2154,4,Delivered,UPI
254829,05-02-2022,25,214,2154,8,Delivered,UPI
254830,05-02-2022,10,211,2142,10,Delivered,Card
254831,05-02-2022,22,212,2145,6,Delivered,UPI
254832,05-02-2022,11,212,2147,5,Delivered,UPI
254833,06-02-2022,17,216,2160,3,Delivered,UPI
254834,06-02-2022,1,214,2153,10,Delivered,UPI
254835,06-02-2022,13,211,2141,8,Delivered,COD
254836,06-02-2022,14,213,2148,8,Delivered,UPI
254837,06-02-2022,4,212,2147,8,Delivered,UPI
254838,06-02-2022,13,217,2165,2,Delivered,COD
254839,06-02-2022,28,212,2147,3,Delivered,COD
254840,06-02-2022,25,216,2160,8,Delivered,COD
254841,06-02-2022,2,211,2141,7,Delivered,UPI
254842,06-02-2022,18,216,2163,3,Delivered,UPI
254843,07-02-2022,30,214,2154,4,Delivered,COD
254844,07-02-2022,27,211,2142,9,Delivered,UPI
254845,07-02-2022,4,211,2141,10,Delivered,Card
254846,07-02-2022,15,212,2147,6,Delivered,UPI
254847,07-02-2022,16,212,2145,10,Delivered,UPI
254848,07-02-2022,28,211,2141,9,Delivered,Card
254849,07-02-2022,28,217,2165,3,Delivered,UPI
254850,07-02-2022,8,211,2143,5,Delivered,UPI
254851,07-02-2022,4,212,2147,4,Delivered,COD
254852,07-02-2022,4,212,2147,8,Delivered,UPI
254853,07-02-2022,12,211,2143,7,Delivered,UPI
254854,07-02-2022,4,211,2142,4,Delivered,COD
