order_id,orderDate,customer_id,Resturant_ID,Fooditem,quantity,deliver_status,payment_method
255436,01-03-2022,10,211,2141,4,Delivered,UPI
255437,01-03-2022,4,213,2149,2,Delivered,UPI
255438,01-03-2022,4,217,2165,5,Delivered,Card
255439,01-03-2022,7,212,2145,1,Delivered,UPI
255440,01-03-2022,28,211,2141,4,Delivered,UPI
255441,01-03-2022,7,211,2142,5,Delivered,UPI
255442,01-03-2022,25,213,2150,10,Delivered,UPI
255443,01-03-2022,19,212,2145,10,Delivered,COD
255444,01-03-2022,28,214,2152,10,Delivered,Card
255445,01-03-2022,8,217,2164,8,Delivered,UPI
255446,01-03-2022,25,213,2148,7,Delivered,UPI
255447,01-03-2022,4,212,2146,1,Delivered,COD
255448,01-03-2022,25,214,2155,2,Delivered,Card
255449,02-03-2022,13,213,2150,3,Delivered,COD
255450,02-03-2022,2,211,2142,4,Delivered,UPI
255451,02-03-2022,29,212,2147,7,Delivered,COD
255452,02-03-2022,25,211,2141,6,Delivered,UPI
255453,02-03-2022,2,212,2145,8,Delivered,UPI
255454,02-03-2022,10,214,2152,6,Delivered,COD
255455,02-03-2022,1,217,2165,2,Delivered,UPI
255456,02-03-2022,9,212,2147,4,Delivered,Card
255457,02-03-2022,21,212,2147,4,Delivered,COD
255458,02-03-2022,21,216,2163,4,Delivered,UPI
255459,02-03-2022,30,212,2147,4,Delivered,UPI
255460,02-03-2022,1,216,2163,1,Delivered,UPI
255461,02-03-2022,13,211,2144,9,Delivered,Card
255462,02-03-2022,9,216,2160,10,Delivered,UPI
255463,02-03-2022,16,211,2142,7,Delivered,UPI
255464,02-03-2022,6,211,2141,4,Delivered,COD
255465,02-03-2022,5,211,2142,8,Delivered,UPI
255466,02-03-2022,18,211,2141,10,Delivered,COD
255467,02-03-2022,2,213,2150,1,Delivered,UPI
255468,02-03-2022,30,213,2149,1,Delivered,UPI
255469,02-03-2022,25,212,2147,2,Delivered,COD
255470,02-03-2022,10,214,2155,9,Delivered,UPI
255471,02-03-2022,25,211,2142,4,Delivered,UPI
255472,02-03-2022,4,212,2147,3,Delivered,COD
255473,02-03-2022,5,214,2155,9,Delivered,COD
255474,02-03-2022,7,216,2162,7,Delivered,Card
255475,02-03-2022,4,212,2145,3,Delivered,UPI
255476,02-03-2022,9,214,2155,3,Delivered,UPI
255477,02-03-2022,25,212,2145,7,Delivered,COD
255478,02-03-2022,18,216,2161,2,Delivered,Card
255479,02-03-2022,28,212,2147,3,Delivered,Card
255480,02-03-2022,28,211,2144,4,Delivered,UPI
255481,02-03-2022,4,214,2152,9,Delivered,COD
255482,02-03-2022,16,212,2147,7,Delivered,UPI
255483,02-03-2022,24,212,2147,8,Delivered,COD
255484,02-03-2022,15,216,2160,4,Delivered,UPI
255485,02-03-2022,27,212,2147,1,Delivered,UPI
255486,02-03-2022,25,217,2165,7,Delivered,COD
255487,03-03-2022,26,212,2146,2,Delivered,UPI
255488,03-03-2022,30,213,2148,6,Delivered,UPI
255489,03-03-2022,18,212,2147,9,Delivered,UPI
255490,03-03-2022,4,217,2165,10,Delivered,COD
255491,03-03-2022,27,217,2164,9,Delivered,UPI
255492,04-03-2022,25,211,2142,4,Delivered,COD
255493,04-03-2022,25,217,2165,8,Delivered,COD
255494,04-03-2022,26,212,2146,9,Delivered,UPI
255495,04-03-2022,21,214,2151,4,Delivered,UPI
255496,04-03-2022,25,217,2165,8,Delivered,COD
255497,04-03-2022,12,216,2163,10,Delivered,UPI
255498,04-03-2022,29,214,2155,8,Cancelled,COD
255499,04-03-2022,17,211,2142,8,Delivered,COD
255500,04-03-2022,9,212,2147,8,Delivered,UPI
255501,04-03-2022,11,211,2143,8,Delivered,UPI
255502,04-03-2022,25,212,2147,10,Delivered,UPI
255503,04-03-2022,5,212,2147,5,Delivered,Card
255504,04-03-2022,29,216,2163,7,Delivered,COD
255505,04-03-2022,25,214,2153,3,Delivered,UPI
255506,04-03-2022,12,216,2160,7,Delivered,Card
255507,04-03-2022,28,212,2147,6,Delivered,UPI
255508,04-03-2022,30,211,2142,2,Delivered,UPI
255509,04-03-2022,4,212,2147,1,Delivered,UPI
255510,04-03-2022,24,213,2148,1,Delivered,COD
255511,04-03-2022,4,211,2142,6,Delivered,UPI
255512,04-03-2022,7,217,2164,5,Delivered,UPI
255513,04-03-2022,8,213,2148,3,Delivered,COD
255514,04-03-2022,25,211,2142,6,Delivered,Card
255515,04-03-2022,25,211,2142,2,Delivered,COD
255516,04-03-2022,15,216,2163,6,Delivered,UPI
255517,04-03-2022,14,211,2142,10,Delivered,UPI
255518,04-03-2022,4,216,2160,1,Delivered,UPI
255519,04-03-2022,6,212,2145,6,Delivered,UPI
255520,04-03-2022,25,211,2142,4,Cancelled,COD
255521,04-03-2022,4,213,2148,5,Delivered,Card
255522,04-03-2022,4,211,2141,10,Delivered,UPI
255523,04-03-2022,23,214,2155,4,Delivered,COD
255524,04-03-2022,27,212,2147,1,Delivered,UPI
255525,04-03-2022,8,214,2154,6,Delivered,Card
255526,04-03-2022,25,214,2154,10,Delivered,UPI
255527,04-03-2022,4,211,2141,3,Delivered,Card
255528,04-03-2022,13,216,2163,8,Delivered,COD
255529,04-03-2022,2,212,2146,3,Delivered,UPI
255530,04-03-2022,4,217,2164,8,Delivered,Card
255531,04-03-2022,26,211,2142,10,Delivered,COD
255532,05-03-2022,16,213,2148,1,Delivered,COD
255533,05-03-2022,13,211,2142,1,Delivered,UPI
255534,05-03-2022,4,211,2142,10,Delivered,UPI
255535,05-03-2022,4,217,2165,7,Delivered,UPI
255536,05-03-2022,24,211,2144,4,Delivered,UPI
255537,05-03-2022,1,212,2147,4,Delivered,COD
255538,05-03-2022,25,214,2154,3,Delivered,UPI
255539,05-03-2022,27,214,2152,2,Delivered,COD
255540,05-03-2022,12,214,2153,6,Delivered,UPI
255541,05-03-2022,24,214,2152,7,Delivered,UPI
255542,05-03-2022,12,212,2147,9,Delivered,Card
255543,05-03-2022,18,212,2147,5,Delivered,UPI
255544,05-03-2022,25,212,2145,10,Delivered,UPI
255545,05-03-2022,22,212,2147,5,Delivered,UPI
255546,05-03-2022,25,213,2148,10,Delivered,Card
255547,05-03-2022,4,212,2145,6,Delivered,UPI
255548,05-03-2022,15,216,2160,9,Delivered,COD
255549,05-03-2022,28,212,2147,1,Delivered,UPI
255550,05-03-2022,16,213,2150,6,Delivered,Card
255551,05-03-2022,6,214,2155,5,Delivered,Card
